"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","batches","cnn_architecture","device","dp","emb_projection","emb_training","final_metric","gamma","gradient_clip","hidden_size","lr","lr_scheduler","model","n_kernel","num_of_params","optimizer","pad_idx","proj_size","random_emb","scheduler","seq_len","use_normalization","vocab_size","_VALID_DICT_FIELDS","_dict_dtype_to_str","_dict_torch_dtype_to_str","_n_gpu","_no_sync_in_gradient_accumulation","_setup_devices","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_configured_state","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","data_dir","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","dataloader_prefetch_factor","ddp_timeout","ddp_timeout_delta","debug","default_optim","disable_tqdm","distributed_state","do_eval","do_predict","do_train","dropout_probs","embedding_dimension","eval_batch_size","eval_dataset_batches","eval_delay","eval_do_concat_batches","eval_on_start","eval_steps","eval_strategy","eval_use_gather_object","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","framework","freeze_embedding_layer","freeze_first_x_layers","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","get_process_log_level","get_warmup_steps","gradient_accumulation_steps","gradient_checkpointing","group_by_length","half_precision_backend","hub_always_push","hub_private_repo","hub_strategy","ignore_data_skip","include_for_metrics","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","is_torch_greater_or_equal_than_2_8","jit_mode_eval","l2_alpha","label_smoothing_factor","labels","learning_rate","length_column_name","load_best_model_at_end","local_process_index","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","lstm_hidden_dimension","main_process_first","max_grad_norm","max_seq_length","max_steps","model_type","mp_parameters","n_gpu","no_bias","no_cuda","num_lstm_layers","num_train_epochs","optim","output_dir","overwrite_cache","overwrite_output_dir","parallel_mode","past_index","per_device_eval_batch_size","per_device_train_batch_size","place_model_on_device","prediction_loss_only","process_index","project","push_to_hub","random_init","ray_scope","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","seed","set_dataloader","set_evaluate","set_logging","set_lr_scheduler","set_optimizer","set_push_to_hub","set_save","set_testing","set_training","should_log","should_save","skip_memory_metrics","task","to_dict","to_json_string","to_sanitized_dict","torch_compile","tpu_metrics_debug","trackio_space_id","train_batch_size","use_cpu","use_ipex","use_legacy_prediction_loop","use_liger_kernel","use_mps_device","warmup_ratio","warmup_steps","weight_decay","world_size","final_test_acc","final_test_loss","norm","test_acc","test_loss","train_acc","train_loss","epoch","eval_f1.max","eval_loss.min","eval_precision.max","eval_recall.max","test_f1","test_precision","test_recall","training_f1.max","training_loss.min","training_precision.max","training_recall.max"
"bright-smoke-4909","finished","-","","best, cv03","2025-10-28T15:42:42.000Z","6252","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7014687615674693","0.8428839165847618","0.2094549536705017","0.7172097925546105","0.8284062819722098","0.91304349899292","0.6406819224357605","","","","","","","","","","","",""
"swept-darkness-4908","finished","-","","best, cv03","2025-10-28T15:40:18.000Z","6039","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7109461262092723","0.8348738757463602","0.7866227030754089","0.7167761025493711","0.8277092058834863","0.91304349899292","0.6399238705635071","","","","","","","","","","","",""
"trim-shadow-4906","finished","-","","best, cv03","2025-10-28T15:33:29.000Z","6012","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7065064869560562","0.8397953343558144","3.834808111190796","0.7142752919215637","0.8316379116434995","0.8695652484893799","0.6942001581192017","","","","","","","","","","","",""
"ethereal-brook-4907","finished","-","","best, cv03","2025-10-28T15:33:29.000Z","6185","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7042809164190625","0.8412480604398501","0.1803804188966751","0.7108706226608632","0.8346573826403934","0.8260869979858398","0.7251976728439331","","","","","","","","","","","",""
"rosy-wind-4904","finished","-","","best, cv03","2025-10-28T14:15:40.000Z","507","","relu","64","5000","B","cuda:0","","true","true","","","0.5","970","0.0001","","cnn","64","15561815","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7322946661835784","0.8099387450651689","1.4730942249298096","0.7500902159204743","0.7933111244138576","0.8727272748947144","0.6813419461250305","","","","","","","","","","","",""
"electric-wildflower-4903","finished","-","","best, cv03","2025-10-28T14:15:38.000Z","312","","relu","128","5000","C","cuda:0","","true","true","","","0.5","35020","0.0001","","cnn","64","12952415","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7275284247265922","0.8147619739174843","2.286235809326172","0.7330856147662613","0.8090857165728429","0.8655462861061096","0.6738871932029724","","","","","","","","","","","",""
"crimson-eon-4902","finished","-","","best, cv03","2025-10-28T14:15:35.000Z","165","","relu","64","5000","A","cuda:0","","true","true","","","0.5","","0.001","","mean","64","6031003","","","100","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7228635336969282","0.8214449594904493","0.6330342292785645","0.7303976558061889","0.8131222615909948","0.8545454144477844","0.7005144953727722","","","","","","","","","","","",""
"sweet-glade-4901","finished","-","","best, cv03","2025-10-28T14:13:13.000Z","6079","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7037748435994128","0.8401104449392198","0.040934666991233826","0.7147697795921727","0.8310684170936332","0.8260869979858398","0.7256041169166565","","","","","","","","","","","",""
"breezy-water-4900","finished","-","","best, cv03","2025-10-28T14:10:54.000Z","167","","relu","64","5000","A","cuda:0","","true","true","","","0.5","","0.001","","mean","64","6031003","","","100","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7417750754556456","0.8032295612188486","1.0185856819152832","0.7484526012658145","0.7964349790305942","0.8545454144477844","0.6781089901924133","","","","","","","","","","","",""
"eager-water-4899","finished","-","","best, cv03","2025-10-28T14:08:36.000Z","324","","relu","128","5000","C","cuda:0","","true","true","","","0.5","35020","0.0001","","cnn","64","12952415","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7256816791163551","0.8173849541280005","2.2353241443634033","0.7364653663117756","0.8069096249203349","0.8655462861061096","0.6935608386993408","","","","","","","","","","","",""
